"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Christian McCaffrey","SF","RB1","224.2","1,034.4","7.6","76.3","652.9","4.4","1.0","276.9"
"","high","3.3","26.3","1.1","63.5","892.3","6.0","0.0","191.8"
"","low","0.0","0.0","0.0","46.2","760.0","2.8","1.0","135.2"
"Gabe Davis","BUF","WR38","0.1","0.9","0.0","50.7","823.7","6.2","0.4","144.1"
"","high","0.3","4.3","0.0","53.8","930.5","7.0","0.0","207.0"
"","low","0.0","0.0","0.0","45.0","751.4","5.6","1.0","135.4"
"Antonio Gibson","WAS","RB31","148.4","589.4","3.8","44.8","327.6","1.7","1.5","143.6"
"","high","168.4","670.6","4.4","61.0","455.0","3.0","0.9","186.6"
"","low","133.1","544.9","3.0","33.0","244.0","0.9","2.0","114.4"
"AJ Dillon","GB","RB32","168.1","733.9","5.8","24.3","195.1","0.7","1.0","142.3"
"","high","186.0","782.0","6.8","30.0","230.0","1.0","0.4","180.0"
"","low","147.8","684.6","4.0","18.7","148.6","0.0","2.0","117.2"
"Jordan Addison","MIN","WR39","2.0","11.5","0.1","62.6","820.3","4.7","0.8","141.2"
"","high","3.9","24.6","0.2","70.1","904.0","6.0","0.0","188.0"
"","low","0.0","0.0","0.0","56.9","713.7","4.0","2.0","134.3"
"Treylon Burks","TEN","WR40","6.4","52.4","0.1","58.4","805.0","3.9","0.3","138.0"
"","high","8.5","100.2","0.2","70.1","937.6","5.3","0.0","173.9"
"","low","5.0","26.2","0.0","51.0","636.1","2.0","1.0","113.2"
"Brian Robinson Jr.","WAS","RB33","218.1","916.6","4.5","14.0","90.2","0.7","0.7","137.7"
"","high","243.0","1,065.5","6.4","21.0","135.0","1.5","0.0","185.6"
"","low","184.0","755.0","1.6","7.8","46.6","0.0","2.0","120.0"
"Kadarius Toney","KC","WR41","11.2","112.4","1.5","55.1","630.8","4.4","0.7","135.7"
"","high","18.0","194.0","3.0","61.0","775.0","5.0","0.1","197.8"
"","low","8.0","48.3","0.6","45.0","484.0","3.6","1.1","124.6"
"JuJu Smith-Schuster","NE","WR42","0.2","1.2","0.1","68.8","773.3","4.1","0.7","135.7"
"","high","0.9","2.6","0.3","79.0","902.2","5.0","0.0","232.2"
"","low","0.0","0.0","0.0","63.0","644.0","3.0","1.1","105.4"
"Dallas Goedert","PHI","TE5","0.0","0.4","0.0","64.8","767.9","4.4","0.6","134.6"
"","high","0.0","0.9","0.0","75.2","889.1","5.2","0.0","228.0"
"","low","0.0","0.0","0.0","54.0","648.0","3.4","1.0","121.2"
"Michael Thomas","NO","WR43","0.4","1.4","0.0","64.8","759.5","4.4","0.3","134.4"
"","high","1.0","6.1","0.0","70.4","872.6","7.0","0.0","224.4"
"","low","0.0","0.0","0.0","55.0","640.0","1.3","1.0","127.4"
"Darren Waller","NYG","TE6","0.0","1.1","0.0","63.0","760.4","4.2","0.6","132.0"
"","high","0.0","2.2","0.0","67.6","943.6","6.0","0.0","228.7"
"","low","0.0","0.0","0.0","58.0","627.0","2.1","1.0","106.5"
"Samaje Perine","DEN","RB34","150.0","629.0","3.7","28.4","232.4","1.5","0.3","131.1"
"","high","189.0","811.0","5.0","36.0","284.0","2.0","0.0","164.1"
"","low","118.5","469.1","2.5","18.5","127.4","0.7","1.0","109.2"
"Kyle Pitts","ATL","TE7","0.0","0.5","0.0","59.1","775.8","4.0","0.3","130.5"
"","high","0.0","1.1","0.0","63.0","904.3","5.0","0.0","182.3"
"","low","0.0","0.0","0.0","54.0","664.9","1.9","1.0","120.6"
"Jakobi Meyers","LV","WR44","1.2","2.5","0.0","63.5","755.9","3.9","1.0","129.3"
"","high","2.0","12.9","0.1","65.8","805.6","5.0","0.0","207.9"
"","low","0.0","-5.0","0.0","60.0","692.7","2.7","2.0","120.2"
"Jaxon Smith-Njigba","SEA","WR45","1.5","10.1","0.0","56.0","762.1","4.2","0.8","129.1"
"","high","3.9","24.3","0.2","68.0","850.8","5.0","0.0","175.6"
"","low","0.0","0.0","0.0","45.1","596.1","4.0","2.0","115.0"
"Rashod Bateman","BAL","WR46","0.0","0.4","0.0","53.6","781.5","4.1","1.0","127.5"
"","high","0.0","1.7","0.0","60.2","818.0","4.9","0.0","175.5"
"","low","0.0","0.0","0.0","48.0","714.7","3.4","2.0","119.8"
"Courtland Sutton","DEN","WR47","0.6","3.3","0.0","57.0","773.1","3.6","0.3","127.3"
"","high","1.3","7.2","0.0","58.0","921.6","4.9","0.0","186.6"
"","low","0.0","0.0","0.0","56.0","699.2","1.7","1.0","113.5"
"Khalil Herbert","CHI","RB35","156.4","787.6","4.3","16.6","113.2","0.6","0.7","126.7"
"","high","164.3","866.7","5.5","23.0","161.0","1.0","0.0","165.6"
"","low","141.0","675.0","3.3","11.7","76.9","0.0","2.0","108.3"
"Tyler Boyd","CIN","WR48","1.9","10.6","0.0","57.9","718.4","3.8","0.5","123.9"
"","high","4.2","24.1","0.2","64.2","857.2","5.0","0.0","203.4"
"","low","0.0","0.0","0.0","52.2","597.5","2.4","1.0","111.9"
"Nico Collins","HOU","WR49","0.0","0.2","0.0","55.9","701.1","4.4","0.3","123.9"
"","high","0.0","0.8","0.0","57.9","752.0","5.4","0.0","182.1"
"","low","0.0","0.0","0.0","54.7","634.6","3.9","1.0","116.9"
"Allen Lazard","NYJ","WR50","1.4","10.3","0.0","54.5","681.3","4.5","0.3","123.1"
"","high","2.2","18.9","0.1","57.2","736.0","4.9","0.0","181.7"
